"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"San Marino";"Europe";"SMR";"SMR";"skyblue";231294,263;8,12405226530813e-05;0;9,76579102902219e-05
"Sao Tome and Principe";"Africa";"STP";"STP";"tomato";48987,676;2,03091736412829e-05;0;4,13706866571645e-05
"Saudi Arabia";"Asia";"SAU";"SAU";"gold";307650537,289;0,107519459055668;1785;0,000586900803259756
"Senegal";"Africa";"SEN";"SEN";"tomato";6679440,641;0,00369100740956771;0;0,000512264103908276
"Serbia";"Europe";"SRB";"SRB";"skyblue";34927700,363;0,00902954928952902;224;0,000573273785660743
"Seychelles";"Africa";"SYC";"SYC";"tomato";898937,879;0,000229440135132347;0;0,000397837957415902
"Sierra Leone";"Africa";"SLE";"SLE";"tomato";1517629,776;0,00106225371019008;0;0,000516820847935315
"India";"Asia";"IND";"IND";"gold";454780509,254;0,20450742218856;3337;0,00058696652224819
"Singapore";"Asia";"SGP";"SGP";"gold";330555564,008;0,148923358532107;1558;0,000586464723563019
"Slovakia";"Europe";"SVK";"SVK";"skyblue";118389620,995;0,0313935816215816;0;0,00058448620689855
"Viet Nam";"Asia";"VNM";"VNM";"gold";504977367,122;0,265335866586577;0;0,000587483690177038
"Slovenia";"Europe";"SVN";"SVN";"skyblue";67846808,632;0,016232153468922;0;0,000582992547763847
"Somalia";"Africa";"SOM";"SOM";"tomato";508953,682;0,000681956582421503;0;0,000427034231457027
"South Africa";"Africa";"ZAF";"ZAF";"tomato";152235700,635;0,049644006057066;2219;0,000585709901051584
"Zimbabwe";"Africa";"ZWE";"ZWE";"tomato";7898470,17;0,00231534453895942;0;0,000559151752694411
"Spain";"Europe";"ESP";"ESP";"skyblue";400747913,224;0,124860010653187;2472;0,000586008418166293
"South Sudan";"Africa";"SSD";"SSD";"tomato";506954,792;0,00028692976874879;0;0,000408553533690651
"Sudan";"Africa";"SDN";"SDN";"tomato";3060915,094;0,0010440870086818;0;0,000503938478280987
"Suriname";"Americas";"SUR";"SUR";"palegreen3";1656663,651;0,000662631029519153;0;0,000534064226705073
"Eswatini";"Africa";"SWZ";"SWZ";"tomato";2172779,553;0,000184479500896515;0;0,000538407948648472
"Sweden";"Europe";"SWE";"SWE";"skyblue";191533718,177;0,0536258395999401;2;0,000583784371489625
"Switzerland";"Europe";"CHE";"CHE";"skyblue";398804885,309;0,146838751702107;2006;0,000586692287835832
"Syria";"Asia";"SYR";"SYR";"gold";978860,503;0,000411068292965372;0;0,000449355144270186
