"";"name";"continent";"color";"strength";"iso3";"label";"eigenv";"between";"closen"
"Germany";"Germany";"Europe";"skyblue";1345366379,845;"PSE";"PSE";0,431472830327955;13454;0,000440825478728339
"Ghana";"Ghana";"Africa";"tomato";20266231,445;"DEU";"DEU";0,00867093197314836;0;0,000436952122869805
"Gibraltar";"Gibraltar";"Europe";"skyblue";9885280,575;"GHA";"GHA";0,000952740941506152;0;0,000429861254483815
"Greece";"Greece";"Europe";"skyblue";90997342,63;"GIB";"GIB";0,0167037890710946;264;0,000436832523177495
"Greenland";"Greenland";"Americas";"palegreen3";991565,252;"KIR";"KIR";0,000302714204061394;0;0,000387252082440022
"Grenada";"Grenada";"Americas";"palegreen3";380370,642;"GRC";"GRC";0,00012280427606234;0;0,000277278625620472
"Guam";"Guam";"Oceania";"orchid";851052,18;"GRL";"GRL";0,000114547836430178;0;0,000343803994826772
"Guatemala";"Guatemala";"Americas";"palegreen3";32443325,716;"GTM";"GTM";0,013728423448728;0;0,000437021367055886
"Guinea";"Guinea";"Africa";"tomato";7724062,886;"GIN";"GIN";0,00606837129807809;0;0,000431112201462018
"Guyana";"Guyana";"Americas";"palegreen3";4025623,439;"GUY";"GUY";0,00598384322956614;0;0,000411139300432339
"Haiti";"Haiti";"Americas";"palegreen3";3403558,907;"HTI";"HTI";0,0013052003790008;0;0,000409040509920156
"Honduras";"Honduras";"Americas";"palegreen3";17535878,233;"HND";"HND";0,00851491748499084;0;0,000434705408256284
"China, Hong Kong SAR";"China, Hong Kong SAR";"Asia";"gold";674006154,749999;"HKG";"HKG";0,221708381312829;201;0,000440728331231217
"Hungary";"Hungary";"Europe";"skyblue";150315491,27;"HUN";"HUN";0,0450885659620796;0;0,00043964529768086
"Iceland";"Iceland";"Europe";"skyblue";9986986,496;"ISL";"ISL";0,00288300149274574;0;0,000405939882643418
"Indonesia";"Indonesia";"Asia";"gold";230658000,647;"IDN";"IDN";0,124555238261839;401;0,00044033041495713
"Iran";"Iran";"Asia";"gold";22566874,583;"IRN";"IRN";0,00807673562143709;0;0,000436552085391658
"Iraq";"Iraq";"Asia";"gold";51536031,787;"IRQ";"IRQ";0,0404008411622127;0;0,000438453299884921
"Ireland";"Ireland";"Europe";"skyblue";130395151,605;"IRL";"IRL";0,0980993184520096;0;0,000439249281283531
"Israel";"Israel";"Asia";"gold";85748718,7900001;"ISR";"ISR";0,0353057946296145;0;0,000437858278086774
"Italy";"Italy";"Europe";"skyblue";584070543,803;"ITA";"ITA";0,183440987757915;2376;0,000440414091457274
"C̫te d'Ivoire";"C̫te d'Ivoire";"Africa";"tomato";18563443,29;"CIV";"CIV";0,005999929815645;200;0,000429289681710341
"Jamaica";"Jamaica";"Americas";"palegreen3";6033973,58;"JAM";"JAM";0,00239876662141097;0;0,000426388776203648
"Japan";"Japan";"Asia";"gold";714357263,599;"JPN";"JPN";0,355210567348646;402;0,000440636537029236
"Kazakhstan";"Kazakhstan";"Asia";"gold";69996274,668;"KAZ";"KAZ";0,0291828334150068;0;0,000439109699856378
"Jordan";"Jordan";"Asia";"gold";20975408,414;"JOR";"JOR";0,00710062763279774;0;0,000432898385196066
"Kenya";"Kenya";"Africa";"tomato";24791828,087;"KEN";"KEN";0,00582136265082948;0;0,000434821411764692
"Dem. People's Rep. of Korea";"Dem. People's Rep. of Korea";"Asia";"gold";1827577,686;"PRK";"PRK";0,00102293244778024;0;0,00042077784764921
"Rep. of Korea";"Rep. of Korea";"Asia";"gold";614947337,003;"KOR";"KOR";0,33270286670386;402;0,000440575668463337
"Kuwait";"Kuwait";"Asia";"gold";37471506,092;"KWT";"KWT";0,0202256641906705;0;0,000435330448710734
"Kyrgyzstan";"Kyrgyzstan";"Asia";"gold";28771176,986;"KGZ";"KGZ";0,0112990159533573;0;0,000438696743643194
"Lao People's Dem. Rep.";"Lao People's Dem. Rep.";"Asia";"gold";8742619,503;"LAO";"LAO";0,00498732386102906;0;0,000432645650014222
"Lebanon";"Lebanon";"Asia";"gold";13479512,762;"LBN";"LBN";0,00234367506165043;0;0,000423616393528756
"Lesotho";"Lesotho";"Africa";"tomato";1907040,217;"LSO";"LSO";0,000360591149424845;0;0,000414800760293239
"Latvia";"Latvia";"Europe";"skyblue";22678101,689;"LVA";"LVA";0,00349436168407843;0;0,000425629393195237
"Liberia";"Liberia";"Africa";"tomato";22920994,866;"LBR";"LBR";0,00813317961298153;0;0,000438091037427391
"Libya";"Libya";"Africa";"tomato";20888236,056;"LBY";"LBY";0,00744729138150213;401;0,000430355437009939
