Source;Target;Value
Norway;Poland;3443512
Norway;Portugal;382704
Norway;Korea;693182
Norway;Romania;652096
Norway;Slovakia;384099
Norway;Slovenia;223274
Norway;Spain;2198954
Norway;Sweden;10509207
Norway;Switzerland;1000176
Norway;UK;4648840
Poland;Austria;5447387
Poland;Belgium;8217556
Poland;Bulgaria;2988924
Poland;China;55071605
Poland;HongKong;154039
Poland;Macao;6303
Poland;Taiwan;3027712
Poland;Croatia;388142
Poland;Cyprus;51860
Poland;Czechia;12251935
Poland;Denmark;6652916
Poland;Estonia;517636
Poland;Finland;2585028
Poland;France;13170810
Poland;Germany;72930080
Poland;Greece;1216222
Poland;Hungary;5842844
Poland;India;4345059
Poland;Ireland;2274140
Poland;Italy;17782268
Poland;Japan;5505423
Poland;Latvia;604467
Poland;Lithuania;3011592
Poland;Luxembourg;371890
Poland;Malta;78487
Poland;Netherlands;14635518
Poland;Norway;8350345
Poland;Portugal;1388553
Poland;Korea;10952506
Poland;Romania;3437468
Poland;Slovakia;5457121
Poland;Slovenia;1347543
Poland;Spain;8514000
Poland;Sweden;6416456
Poland;Switzerland;3043861
Poland;UK;6516742
Portugal;Austria;766405
Portugal;Belgium;3662622
Portugal;Bulgaria;129939
Portugal;China;5544180
Portugal;HongKong;111385
Portugal;Macao;448
Portugal;Taiwan;683487
Portugal;Croatia;75530
Portugal;Cyprus;13408
Portugal;Czechia;893692
Portugal;Denmark;542564
Portugal;Estonia;55678
Portugal;Finland;332972
Portugal;France;8353031
Portugal;Germany;13201199
Portugal;Greece;227915
Portugal;Hungary;665797
Portugal;India;1156485
Portugal;Ireland;2148012
Portugal;Italy;5987694
Portugal;Japan;543500
Portugal;Latvia;51350
Portugal;Lithuania;102456
Portugal;Luxembourg;99511
Portugal;Malta;126552
Portugal;Netherlands;6376091
Portugal;Norway;544438
Portugal;Poland;1946963
Portugal;Korea;931099
Portugal;Romania;582852
Portugal;Slovakia;354620
Portugal;Slovenia;230511
Portugal;Spain;38356083
Portugal;Sweden;1104421
Portugal;Switzerland;597949
Portugal;UK;1308558
Korea;Austria;1628987
Korea;Belgium;1537484
Korea;Bulgaria;254448
Korea;China;139874970
Korea;HongKong;2255885
Korea;Macao;3327
Korea;Taiwan;30224935
Korea;Croatia;36615
Korea;Cyprus;9448
Korea;Czechia;1364716
Korea;Denmark;1209745
Korea;Estonia;105937
Korea;Finland;862769
Korea;France;8150923
Korea;Germany;22291973
Korea;Greece;1092439
Korea;Hungary;734343
Korea;India;6431322
Korea;Ireland;1441156
Korea;Italy;7724706
Korea;Japan;47564709
Korea;Latvia;105357
Korea;Lithuania;115232
Korea;Luxembourg;76682
Korea;Malta;324019
Korea;Netherlands;8173784
Korea;Norway;1396132
Korea;Poland;1068980
Korea;Portugal;518639
Korea;Romania;709410
Korea;Slovakia;743325
Korea;Slovenia;113039
Korea;Spain;2415100
Korea;Sweden;1942296
Korea;Switzerland;3527390
Korea;UK;4572330
Romania;Austria;4226940
Romania;Belgium;3392096
Romania;Bulgaria;6079055
Romania;China;8508648
Romania;HongKong;21886
Romania;Macao;42
Romania;Taiwan;398105
Romania;Croatia;353638
Romania;Cyprus;100705
Romania;Czechia;3926168
Romania;Denmark;861439
Romania;Estonia;101642
Romania;Finland;290153
